s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR,label
87546-18-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,87546-18-7,87546-18-7,12554,32554,0,0.8893,0.8937,0.156388568,0,Nonbinders
125-84-8,-8.293676944,-8.432809733,-8.108369742,-8.278285473,0,0.188812963,0.112705371,1,1.675279195,125-84-8,125-84-8,2589,22589,0,0.8836,0.9012,0.320726579,0,Nonbinders
695-06-7,-4.964065441,-4.816134546,-4.833004326,-4.871068104,0,0.02259853,0.169133956,0,0.133613203,695-06-7,695-06-7,21298,41298,0,0.8953,0.9,0.042201681,0,Nonbinders
124-22-1,-4.127151765,-4.792711828,-4.947109442,-4.622324345,0,0.02552764,0.174372188,0,0.146397429,124-22-1,124-22-1,1984,21984,0,0.9463,0.9204,0.001094298,0,Nonbinders
5349-51-9,-7.067286697,-7.631024802,-7.318475766,-7.338929089,0,0.146880978,0.158481792,0,0.926800332,5349-51-9,5349-51-9,20716,40716,0,0.9291,0.9341,0.02683925,0,Nonbinders
121-33-5,-6.297576049,-6.399966181,-6.525802608,-6.407781612,0,0.096635671,0.191033867,0,0.505856225,121-33-5,121-33-5,1969,21969,0,0.8841,0.89,0.070383905,0,Nonbinders
2528-16-7,-10.29361812,-10.23567232,-9.822292108,-10.11719418,0,0.184114808,0.031629009,1,5.821074211,2528-16-7,2528-16-7,23938,43938,0,0.8858,0.8717,0.096874291,0,Nonbinders
98319-26-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,98319-26-7,98319-26-7,625,20625,0,0.8947,0.9281,0.521357621,1,Nonbinders
2043-57-4,-7.85603167,0,0,-2.618677223,0,5.40354E-06,0.00241039,0,0.002241769,2043-57-4,2043-57-4,27565,47565,0,0.9759,0.9744,0.008006449,0,Nonbinders
151506-44-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,151506-44-4,151506-44-4,28149,48175,0,0.9065,0.9138,0.1155554,0,Nonbinders
219790-72-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,219790-72-4,219790-72-4,27324,47324,0,0.9201,0.9218,0.055184687,0,Nonbinders
79-24-3,-0.905017648,-0.938743218,-0.894120705,-0.91262719,0,4.03503E-05,0.008183165,0,0.004930895,79-24-3,79-24-3,969,20969,0,0.9419,0.9253,0.00825316,0,Nonbinders
2610-11-9,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,2610-11-9,2610-11-9,21726,41726,0,0.9072,0.9125,0.100538474,0,Nonbinders
107-30-2,-1.357402455,-1.349706232,-1.625391258,-1.444166648,0,0.000178404,0.019194958,0,0.009294293,107-30-2,107-30-2,307,20307,0,0.9452,0.9329,0.009133109,0,Nonbinders
106-22-9,-5.844282657,-6.179038737,-6.409139343,-6.144153579,0,0.089589215,0.1937979,0,0.462281661,106-22-9,106-22-9,6726,26726,0,0.9472,0.9256,0.001548579,0,Nonbinders
99-86-5,-7.087254409,-7.327347065,-6.931958609,-7.115520028,0,0.122281719,0.17700174,0,0.690850375,99-86-5,99-86-5,21237,41237,0,0.9286,0.9308,0.017698412,0,Nonbinders
107-75-5,0,-5.896353392,-5.745061808,-3.880471733,0,0.054346332,0.197239781,0,0.275534338,107-75-5,107-75-5,22232,42232,0,0.9348,0.922,0.00348779,0,Nonbinders
126-98-7,-2.748476184,-2.705258741,-2.897670032,-2.783801652,0,0.001688426,0.061712821,0,0.027359412,126-98-7,126-98-7,4176,24176,0,0.9651,0.9569,0.004589993,0,Nonbinders
2943-75-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,2943-75-1,2943-75-1,9246,29246,0,0.9416,0.924,0.008061814,0,Nonbinders
962-58-3,0,0,-6.690022863,-2.230007621,0,0.106846882,0.186144103,0,0.574000898,962-58-3,962-58-3,17523,37523,0,0.9021,0.8944,0.018357317,0,Nonbinders
90-02-8,-5.791361352,-6.213893872,-6.448919819,-6.151391681,0,0.091969619,0.19292395,0,0.476714367,90-02-8,90-02-8,1792,21792,0,0.899,0.9001,0.032053545,0,Nonbinders
88-60-8,-7.601788724,-8.074326498,-7.277919685,-7.651344969,0,0.144351891,0.160608973,0,0.898778493,88-60-8,88-60-8,6529,26529,0,0.8892,0.903,0.145847963,0,Nonbinders
4437-85-8,-4.362181639,-4.684194435,-4.101891683,-4.382755919,0,0.009534147,0.128867304,0,0.073984219,4437-85-8,4437-85-8,20342,40342,0,0.9009,0.9032,0.040172552,0,Nonbinders
138-22-7,-4.224476634,-4.548889227,-5.191649049,-4.65500497,0,0.032763196,0.184141576,0,0.177923947,138-22-7,138-22-7,22196,42196,0,0.9146,0.8787,0.001446491,0,Nonbinders
4940-11-8,-5.940642159,-5.932176936,-5.797958102,-5.890259066,0,0.056797237,0.197753033,0,0.287212978,4940-11-8,4940-11-8,21516,41516,0,0.885,0.8904,0.054371291,0,Nonbinders
NOCAS_47305,0,-8.199330634,0,-2.733110211,0,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47305,27305,47305,0,0.8988,0.9136,0.215934319,0,Nonbinders
29232-93-7,-5.440129359,0,-6.037106341,-3.825745233,0,0.068692246,0.198368161,0,0.346286649,29232-93-7,29232-93-7,4266,24266,0,0.911,0.9179,0.028293664,0,Nonbinders
17924-92-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,17924-92-4,17924-92-4,1460,21460,0,0.8905,0.9185,0.464256312,0,Nonbinders
6683-19-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,6683-19-8,6683-19-8,7633,27633,0,0.8889,0.8882,0.117724683,0,Nonbinders
59-50-7,-6.744270001,-6.860127098,-6.018991921,-6.541129673,0,0.067745994,0.198419797,0,0.341427594,59-50-7,59-50-7,1717,21717,0,0.8712,0.8924,0.210104338,0,Nonbinders
1646-87-3,-5.065592011,-5.272373233,-5.464120145,-5.267361796,0,0.042463211,0.192291073,0,0.220827781,1646-87-3,1646-87-3,13161,33161,0,0.9385,0.9278,0.003553014,0,Nonbinders
141-79-7,-3.986903899,-4.030035041,-3.699731328,-3.905556756,0,0.005582417,0.10487946,0,0.053226976,141-79-7,141-79-7,9170,29170,0,0.9498,0.9287,0.002233393,0,Nonbinders
104-66-5,0,-7.803776071,0,-2.60125869,0,5.40354E-06,0.00241039,0,0.002241769,104-66-5,104-66-5,6706,26706,0,0.9032,0.894,0.045845303,0,Nonbinders
111-84-2,0,-4.7108246,0,-1.570274867,0,5.40354E-06,0.00241039,0,0.002241769,111-84-2,111-84-2,5796,25796,0,0.939,0.9114,0.004497109,0,Nonbinders
2807-30-9,-2.49207019,-2.146750472,-2.516758048,-2.385192903,0,0.00090124,0.045370725,0,0.01986391,2807-30-9,2807-30-9,7500,27500,0,0.9434,0.9173,0.003139873,0,Nonbinders
1689-84-5,-6.814663661,-7.070086116,-7.49707067,-7.127273482,0,0.157733684,0.148722497,1,1.060590612,1689-84-5,1689-84-5,2162,22162,0,0.9236,0.9399,0.073490755,0,Nonbinders
142459-58-3,-9.784548973,0,0,-3.261516324,0,5.40354E-06,0.00241039,0,0.002241769,142459-58-3,142459-58-3,12552,32552,0,0.8906,0.8968,0.167151456,0,Nonbinders
103-41-3,-9.388568393,-9.465000857,0,-6.284523084,0,5.40354E-06,0.00241039,0,0.002241769,103-41-3,103-41-3,21663,41663,0,0.8991,0.8856,0.03940086,0,Nonbinders
55290-64-7,-5.146886144,-5.168257934,-5.522281696,-5.279141925,0,0.044765613,0.193615505,0,0.23120882,55290-64-7,55290-64-7,4052,24052,0,0.9263,0.9156,0.005206466,0,Nonbinders
148-24-3,-7.419534521,-7.725412615,-7.04746021,-7.397469116,0,0.129704605,0.171916226,0,0.754464009,148-24-3,148-24-3,730,20730,0,0.9169,0.9226,0.034234192,0,Nonbinders
57-50-1,-10.62270884,-9.571237092,-10.92209583,-10.37201392,0,0.12009408,0.00954198,1,12.58586515,57-50-1,57-50-1,1288,21288,0,0.9502,0.9547,0.04546062,0,Nonbinders
571-58-4,-8.347566522,-8.380646504,-7.608018186,-8.112077071,0,0.164173637,0.142397575,1,1.152924386,571-58-4,571-58-4,15423,35423,0,0.9026,0.8982,0.040056193,0,Nonbinders
120116-88-3,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,120116-88-3,120116-88-3,14492,34492,0,0.9087,0.9165,0.111915978,0,Nonbinders
99-65-0,-4.468166906,-6.203955558,-4.016218163,-4.896113542,0,0.00853738,0.123749594,0,0.068989159,99-65-0,99-65-0,4065,24065,0,0.8983,0.8982,0.038675263,0,Nonbinders
23135-22-0,0,-3.830167882,-4.181422073,-2.670529985,0,0.010544895,0.133589895,0,0.078934824,23135-22-0,23135-22-0,1086,21086,0,0.9412,0.9296,0.004432081,0,Nonbinders
94-60-0,-6.426737779,-6.336311815,-5.912543555,-6.225197716,0,0.062333043,0.198397673,0,0.314182332,94-60-0,94-60-0,6566,26566,0,0.9139,0.9051,0.00897298,0,Nonbinders
153233-91-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,153233-91-1,153233-91-1,14586,34586,0,0.8862,0.9069,0.378488703,0,Nonbinders
104206-82-8,-7.666605206,-1.851694428,-7.592854652,-5.703718095,0,0.1633097,0.143271641,1,1.139860611,104206-82-8,104206-82-8,12424,32424,0,0.8882,0.9069,0.234083639,0,Nonbinders
99-85-4,0,-7.398287853,-6.362480831,-4.586922895,0,0.086829097,0.19473078,0,0.445893026,99-85-4,99-85-4,21210,41210,0,0.9312,0.9323,0.011411038,0,Nonbinders
83-41-0,-6.144734159,-6.080786738,-5.779187266,-6.001569388,0,0.055919864,0.19758641,0,0.283014728,83-41-0,83-41-0,5132,25132,0,0.9016,0.8996,0.020261723,0,Nonbinders
84-61-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,84-61-7,84-61-7,5021,25021,0,0.8875,0.8891,0.1399286,0,Nonbinders
120-51-4,-8.338803637,-8.553733175,-7.976208373,-8.289581728,0,0.18314655,0.120610534,1,1.518495477,120-51-4,120-51-4,9153,29153,0,0.8891,0.8717,0.033624403,0,Nonbinders
26040-51-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,26040-51-7,26040-51-7,7887,27887,0,0.9141,0.8921,0.014240707,0,Nonbinders
61-82-5,-4.052963525,-3.106201531,-3.228534638,-3.462566564,0,0.002823022,0.078300386,0,0.036053743,61-82-5,61-82-5,76,20076,0,0.9442,0.9399,0.010052851,0,Nonbinders
4098-71-9,-7.498457429,0,-6.865599851,-4.788019093,0,0.118021435,0.179722643,0,0.656686509,4098-71-9,4098-71-9,3826,23826,0,0.9385,0.9488,0.02130976,0,Nonbinders
534-13-4,-3.543015137,-3.995411295,-3.21720478,-3.585210404,0,0.002775102,0.077699484,0,0.035715836,534-13-4,534-13-4,22191,42191,0,0.9662,0.9544,0.003070033,0,Nonbinders
87-24-1,-6.4331164,-6.486839588,-5.9802296,-6.300061863,0,0.065745449,0.198476176,0,0.331251087,87-24-1,87-24-1,20711,40711,0,0.8748,0.8526,0.012714156,0,Nonbinders
7747-35-5,-3.318826893,-3.392016082,-3.591252967,-3.434031981,0,0.004796482,0.098533609,0,0.048678637,7747-35-5,7747-35-5,9289,29289,0,0.9274,0.9338,0.02924169,0,Nonbinders
82558-50-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,82558-50-7,82558-50-7,4159,24159,0,0.8843,0.8847,0.14245927,0,Nonbinders
924-16-3,-4.867639003,-4.609453496,-4.05775309,-4.511615196,0,0.009009077,0.126233428,0,0.071368392,924-16-3,924-16-3,1026,21026,0,0.937,0.9131,0.002353326,0,Nonbinders
556-67-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,556-67-2,556-67-2,7205,27205,0,0.9705,0.9592,0.004943098,0,Nonbinders
42874-03-3,-8.465484679,-8.52691818,-8.805209858,-8.599204239,0,0.205340573,0.073394817,1,2.797753069,42874-03-3,42874-03-3,4241,24241,0,0.8737,0.8913,0.492993049,0,Nonbinders
108-39-4,-6.069037242,-6.032488012,-5.636313298,-5.912612851,0,0.049518964,0.195762427,0,0.252954383,108-39-4,108-39-4,4200,24200,0,0.8836,0.8913,0.064794268,0,Nonbinders
68359-37-5,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,68359-37-5,68359-37-5,28078,35957,0,0.887,0.9027,0.298168419,0,Nonbinders
117428-22-5,0,0,-8.297232595,-2.765744198,0,0.195633921,0.101534654,1,1.926769968,117428-22-5,117428-22-5,27542,47542,0,0.8847,0.8901,0.185684917,0,Nonbinders
1763-23-1|2795-39-3,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,1763-23-1,1763-23-1|2795-39-3,11864|17706,31864|37706,0,0.962,0.9582,0.010625535,0,Nonbinders
72-20-8,0,0,-8.821683293,-2.940561098,0,0.205427372,0.072548784,1,2.831575696,72-20-8,72-20-8,196608,20561,0,0.9234,0.9473,0.236794524,0,Nonbinders
1918-02-1,-5.844028316,-7.582837125,-6.858416531,-6.761760657,0,0.117561007,0.180007909,0,0.653088008,1918-02-1,1918-02-1,1160,21160,0,0.9257,0.9215,0.012161589,0,Nonbinders
80-46-6,-7.04498757,-7.834306325,-7.416506956,-7.431933617,0,0.15290252,0.153197849,0,0.998072235,80-46-6,80-46-6,1771,21771,0,0.8724,0.888,0.265242619,0,Nonbinders
487-06-9,-6.87806737,-6.733020916,-6.737070249,-6.782719512,0,0.10982123,0.184539299,0,0.595110259,487-06-9,487-06-9,21421,41421,0,0.8983,0.907,0.060898902,0,Nonbinders
104098-48-8,0,-8.663068755,-7.367757431,-5.343608729,0,0.149925695,0.155849416,0,0.961990745,104098-48-8,104098-48-8,14270,34270,0,0.902,0.909,0.071410194,0,Nonbinders
108-98-5,-6.131934572,-5.914482634,-5.61808586,-5.888167689,0,0.048737893,0.195459897,0,0.249349835,108-98-5,108-98-5,6811,26811,0,0.9173,0.912,0.009889316,0,Nonbinders
112-18-5,0,-4.844757758,0,-1.614919253,0,5.40354E-06,0.00241039,0,0.002241769,112-18-5,112-18-5,6906,26906,0,0.9232,0.9064,0.01511287,0,Nonbinders
2176-62-7,-7.420831028,-7.696577483,-7.131492553,-7.416300355,0,0.135085459,0.167959465,0,0.804274168,2176-62-7,2176-62-7,2179,22179,0,0.9567,0.9633,0.011167395,0,Nonbinders
2212-67-1,-5.81174954,-6.157696624,-5.516657288,-5.82870115,0,0.044539364,0.193494107,0,0.230184602,2212-67-1,2212-67-1,4206,24206,0,0.9155,0.9028,0.00640145,0,Nonbinders
175013-18-0,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,175013-18-0,175013-18-0,12638,32638,0,0.883,0.8895,0.206609866,0,Nonbinders
25057-89-0,-6.957362677,-6.898955688,-5.721840301,-6.526052889,0,0.053291548,0.196971791,0,0.270554213,25057-89-0,25057-89-0,3901,23901,0,0.9091,0.9106,0.020102985,0,Nonbinders
103-23-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,103-23-1,103-23-1,606,20606,0,0.9268,0.8943,0.004763471,0,Nonbinders
6259-76-3,-7.442478595,-7.541072311,-7.325484548,-7.436345151,0,0.147315991,0.158110521,0,0.931727947,6259-76-3,6259-76-3,18924,38924,0,0.8679,0.8482,0.035440067,0,Nonbinders
118-56-9,-9.286788593,0,-10.7044983,-6.663762299,0,0.134063971,0.012385895,1,10.82392262,118-56-9,118-56-9,6241,26241,0,0.8717,0.8863,0.534084361,1,Nonbinders
335-76-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,335-76-2,335-76-2,11860,31860,0,0.9502,0.939,0.009414576,0,Nonbinders
110-16-7,-4.134967744,-4.171421433,-4.766755432,-4.35771487,0,0.021021302,0.165919644,0,0.12669568,110-16-7,110-16-7,1517,21517,0,0.9543,0.933,0.001219288,0,Nonbinders
6359-90-6,-10.71664452,0,0,-3.57221484,0,5.40354E-06,0.00241039,0,0.002241769,6359-90-6,6359-90-6,21646,41646,0,0.8858,0.9052,0.361154988,0,Nonbinders
473289-62-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,473289-62-2,473289-62-2,27356,47356,0,0.8961,0.9105,0.226023871,0,Nonbinders
7540-51-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,7540-51-4,7540-51-4,21550,41550,0,0.9472,0.9256,0.005181543,0,Nonbinders
92-84-2,-8.282463189,-8.377705176,-8.01576221,-8.225310192,0,0.184914316,0.11824179,1,1.563865999,92-84-2,92-84-2,1126,21126,0,0.925,0.928,0.043083638,0,Nonbinders
633-96-5,-8.148825759,-10.13138662,0,-6.093404127,0,5.40354E-06,0.00241039,0,0.002241769,633-96-5,633-96-5,18881,38881,0,0.9129,0.9186,0.087483028,0,Nonbinders
99-08-1,-5.503122845,-6.000689127,-5.132751156,-5.545521043,0,0.030896879,0.181985775,0,0.169776342,99-08-1,99-08-1,1831,21831,0,0.8894,0.8858,0.027472082,0,Nonbinders
118-47-8,-9.267845583,-9.344484977,-6.854907681,-8.489079413,0,0.117336169,0.180146581,0,0.651337195,118-47-8,118-47-8,21273,41273,0,0.9044,0.9092,0.042167776,0,Nonbinders
525-82-6,-9.177731835,-9.404981572,-8.98208855,-9.188267319,0,0.205498426,0.064576702,1,3.182237852,525-82-6,525-82-6,2048,22048,0,0.8957,0.9056,0.238674132,0,Nonbinders
5407-98-7,-7.484590134,-7.411839161,-6.712671845,-7.203033713,0,0.108276513,0.185382481,0,0.584070903,5407-98-7,5407-98-7,28176,48201,0,0.8887,0.8906,0.052126161,0,Nonbinders
99-55-8,-5.606203933,-4.779224624,-5.309108714,-5.231512424,0,0.0367273,0.188034746,0,0.195321881,99-55-8,99-55-8,959,20959,0,0.8987,0.8958,0.020999895,0,Nonbinders
97-59-6,-4.603171901,-7.127482255,-4.633941723,-5.454865293,0,0.018119377,0.159136965,0,0.113860262,97-59-6,97-59-6,43,20043,0,0.9381,0.9347,0.007020635,0,Nonbinders
100-01-6,-4.285199535,-4.263443462,-4.071172765,-4.206605254,0,0.009166083,0.127034953,0,0.072154027,100-01-6,100-01-6,961,20961,0,0.9149,0.9097,0.016228322,0,Nonbinders
155990-20-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,155990-20-8,155990-20-8,27347,47347,0,0.9008,0.914,0.188482386,0,Nonbinders
18979-55-0,-6.468932197,-6.247375681,-6.562408646,-6.426238841,0,0.098885184,0.19004273,0,0.520331317,18979-55-0,18979-55-0,28170,48195,0,0.8691,0.8724,0.094214908,0,Nonbinders
563-12-2,0,0,-5.303665352,-1.767888451,0,0.036536377,0.187866698,0,0.194480327,563-12-2,563-12-2,4086,24086,0,0.945,0.9302,0.002232217,0,Nonbinders
75-12-7,-2.271160692,-2.885107405,-2.620494402,-2.592254167,0,0.001073371,0.049511405,0,0.021679264,75-12-7,75-12-7,5337,25337,0,0.979,0.9666,0.002466884,0,Nonbinders
5915-41-3,-5.727462226,-4.989727412,-4.764939136,-5.160709592,0,0.020979303,0.165829849,0,0.126511016,5915-41-3,5915-41-3,7608,27608,0,0.9288,0.9292,0.011563662,0,Nonbinders
154-42-7,-4.877290786,-4.946531682,-4.529240768,-4.784354412,0,0.0160638,0.153512812,0,0.104641431,154-42-7,154-42-7,3652,23652,0,0.9534,0.9557,0.00659372,0,Nonbinders
88671-89-0,-8.640947358,0,-9.191610218,-5.944185859,0,0.203485159,0.054938385,1,3.703879523,88671-89-0,88671-89-0,4315,24315,0,0.8895,0.9123,0.494779943,0,Nonbinders
2835-95-2,-5.559677522,-6.058151662,-5.217792308,-5.61187383,0,0.033617406,0.185055721,0,0.181660991,2835-95-2,2835-95-2,4489,24489,0,0.9002,0.9016,0.026890988,0,Nonbinders
104-61-0,-5.790051381,-6.121774773,-5.611669469,-5.841165208,0,0.048464866,0.19534969,0,0.248092873,104-61-0,104-61-0,14229,34229,0,0.8949,0.8925,0.024036641,0,Nonbinders
94-81-5,-8.200996897,-8.478622514,-8.471628106,-8.383749172,0,0.200456789,0.09148532,1,2.191136113,94-81-5,94-81-5,4193,24193,0,0.869,0.868,0.213574904,0,Nonbinders
66-71-7,-8.31895934,-8.45116435,-7.916485877,-8.228869856,0,0.180367237,0.124186174,1,1.452393865,66-71-7,66-71-7,5857,25857,0,0.9307,0.9317,0.029774222,0,Nonbinders
717-74-8,0,-8.296870238,0,-2.765623413,0,5.40354E-06,0.00241039,0,0.002241769,717-74-8,717-74-8,21232,41232,0,0.9211,0.9192,0.042575695,0,Nonbinders
122836-35-5,-9.381708509,-10.93826277,-9.668575618,-9.996182298,0,0.190505505,0.036514931,1,5.217194674,122836-35-5,122836-35-5,12645,32645,0,0.9097,0.9199,0.200492375,0,Nonbinders
101-61-1,-8.931983756,0,0,-2.977327919,0,5.40354E-06,0.00241039,0,0.002241769,101-61-1,101-61-1,869,20869,0,0.9086,0.9088,0.070633688,0,Nonbinders
68-11-1,-3.630655797,-3.749445937,-3.883139233,-3.754413656,0,0.007163938,0.115782302,0,0.061874208,68-11-1,68-11-1,6141,26141,0,0.9441,0.918,0.001758928,0,Nonbinders
121-75-5,0,0,-5.729285877,-1.909761959,0,0.053628334,0.197060542,0,0.272141413,121-75-5,121-75-5,791,20791,0,0.9291,0.914,0.003575721,0,Nonbinders
23386-52-9,0,0,-8.26303007,-2.754343357,0,0.194517299,0.103539914,1,1.878669701,23386-52-9,23386-52-9,7826,27826,0,0.9286,0.924,0.027701265,0,Nonbinders
112809-51-5,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,112809-51-5,112809-51-5,3202,23202,0,0.9334,0.946,0.073700414,0,Nonbinders
298-46-4,-9.862725224,-9.093297483,-9.050647074,-9.335556594,0,0.205100634,0.061323205,1,3.344584372,298-46-4,298-46-4,2731,22731,0,0.9054,0.8949,0.057061801,0,Nonbinders
112-60-7,-1.498423059,-1.994851425,-2.393467865,-1.96224745,0,0.00072947,0.040756063,0,0.017898449,112-60-7,112-60-7,6922,26922,0,0.9656,0.9451,0.002350481,0,Nonbinders
300-76-5,-4.319844842,-4.439048731,-4.386609914,-4.381834495,0,0.01356979,0.145532883,0,0.093242092,300-76-5,300-76-5,4209,24209,0,0.9373,0.9363,0.009288999,0,Nonbinders
51632-16-7,-8.60293047,-8.75611221,-7.835001408,-8.398014696,0,0.176373275,0.129052415,1,1.366679388,51632-16-7,51632-16-7,8022,28022,0,0.9084,0.9056,0.043499446,0,Nonbinders
344930-95-6,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,344930-95-6,344930-95-6,27368,47368,0,0.9028,0.9151,0.170312004,0,Nonbinders
108-95-2|139-02-6,-4.585561718,-5.49456106,-5.31487446,-5.131665746,0,0.036930303,0.188211406,0,0.196217134,108-95-2,108-95-2|139-02-6,1124|7072,21124|27072,0,0.8904,0.8988,0.056061342,0,Nonbinders
140-38-5,-7.249212254,-7.258631128,-6.816122237,-7.10798854,0,0.11485433,0.181649663,0,0.63228485,140-38-5,140-38-5,21512,41512,0,0.8949,0.899,0.052555651,0,Nonbinders
78-40-0,-3.090745313,-3.073777114,-2.933350313,-3.032624247,0,0.001787158,0.063400233,0,0.028188516,78-40-0,78-40-0,6228,26228,0,0.9312,0.9052,0.00402049,0,Nonbinders
5234-68-4,-8.092419719,-7.907547688,-7.693168463,-7.897711957,0,0.168918831,0.137442042,1,1.229018639,5234-68-4,5234-68-4,3951,23951,0,0.8921,0.8938,0.085100044,0,Nonbinders
124-19-6,-4.598734886,-4.659074765,-5.066003035,-4.774604229,0,0.028877799,0.179386844,0,0.160980585,124-19-6,124-19-6,1639,21639,0,0.9347,0.907,0.001359649,0,Nonbinders
106-87-6,-6.184690398,-6.264036021,-5.855814959,-6.101513793,0,0.059554008,0.198158739,0,0.300536874,106-87-6,106-87-6,604,20604,0,0.9724,0.9816,0.004685481,0,Nonbinders
139290-65-6,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,139290-65-6,139290-65-6,27363,47363,0,0.896,0.909,0.210573611,0,Nonbinders
118-82-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,118-82-1,118-82-1,2411,22411,0,0.894,0.9049,0.198004479,0,Nonbinders
123-51-3,-3.165210918,-4.084078851,-4.173480441,-3.80759007,0,0.010440115,0.133120004,0,0.078426344,123-51-3,123-51-3,5469,25469,0,0.9541,0.932,0.001468649,0,Nonbinders
112-34-5,-1.751183891,-2.096951753,-3.502733174,-2.450289606,0,0.004228067,0.093439007,0,0.045249484,112-34-5,112-34-5,1519,21519,0,0.9325,0.9083,0.003427978,0,Nonbinders
446-86-6,-5.493010451,-5.088864386,-5.03320359,-5.205026143,0,0.027922424,0.178051422,0,0.156822244,446-86-6,446-86-6,119,20119,0,0.9351,0.9419,0.013460118,0,Nonbinders
98-00-0,-4.761322698,-4.605814863,-5.532307957,-4.966481839,0,0.045170843,0.193828339,0,0.23304561,98-00-0,98-00-0,5347,25347,0,0.9078,0.9069,0.017783237,0,Nonbinders
