s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR,label
87-86-5,-8.76011741,-8.859757459,-8.056608111,-8.55882766,0,0.186676275,0.115797412,1,1.612093671,87-86-5,87-86-5,1106,21106,0,0.9401,0.95,0.043598091,0,Nonbinders
838-85-7,-8.888925265,-8.336967669,0,-5.741964311,0,5.40354E-06,0.00241039,0,0.002241769,838-85-7,838-85-7,28182,48207,0,0.901,0.895,0.059989596,0,Nonbinders
827-21-4,-7.048847952,-7.467905679,-7.017168178,-7.177973936,0,0.12775913,0.173291018,0,0.737251888,827-21-4,827-21-4,21639,41639,0,0.8959,0.8941,0.039280905,0,Nonbinders
92-68-2,-7.954153687,-8.323960566,-7.854251494,-8.044121915,0,0.177336988,0.127904834,1,1.386476045,92-68-2,92-68-2,20721,40721,0,0.9312,0.9479,0.076389128,0,Nonbinders
15214-89-8,-4.933967566,-4.725915166,-5.967446606,-5.209109779,0,0.065093053,0.198478586,0,0.327960082,15214-89-8,15214-89-8,7770,27770,0,0.9314,0.917,0.003601435,0,Nonbinders
140-67-0,-6.114263716,-6.648301364,-5.94987902,-6.237481367,0,0.064202471,0.198468802,0,0.323488984,140-67-0,140-67-0,575,20575,0,0.9019,0.9,0.020709092,0,Nonbinders
4151-50-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,4151-50-2,4151-50-2,12646,32646,0,0.9346,0.9292,0.022438267,0,Nonbinders
111-82-0,0,-4.708526186,-4.375434445,-3.027986877,0,0.013388523,0.144894622,0,0.092401797,111-82-0,111-82-0,6889,26889,0,0.9138,0.8801,0.002213383,0,Nonbinders
77-86-1,-4.667474541,-4.80330456,-5.201460812,-4.890746637,0,0.033081917,0.184487789,0,0.179317651,77-86-1,77-86-1,3723,23723,0,0.9653,0.955,0.001612355,0,Nonbinders
207736-05-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,207736-05-8,207736-05-8,27262,47262,0,0.8963,0.9133,0.256708102,0,Nonbinders
21564-17-0,-6.413531164,-6.442129991,-6.762902875,-6.539521343,0,0.11146156,0.183621242,0,0.607018879,21564-17-0,21564-17-0,12647,32647,0,0.9213,0.9271,0.025503014,0,Nonbinders
1569-02-4,-2.556574136,-2.92996297,-3.655295851,-3.047277652,0,0.005247982,0.102268073,0,0.051315939,1569-02-4,1569-02-4,4283,41267,0,0.9363,0.9141,0.00324243,0,Nonbinders
1120-71-4,-2.580526348,-2.605424909,-2.475699988,-2.553883748,0,0.000840336,0.04379696,0,0.019187091,1120-71-4,1120-71-4,1195,21195,0,0.9721,0.9702,0.006461914,0,Nonbinders
153719-23-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,153719-23-4,153719-23-4,14962,34962,0,0.91,0.9188,0.114509558,0,Nonbinders
3025-30-7,-5.005666372,-5.749865513,-5.002719312,-5.252750399,0,0.02705591,0.176776966,0,0.153051107,3025-30-7,3025-30-7,21357,41357,0,0.9236,0.8948,0.001820286,0,Nonbinders
97-99-4,-4.898235427,-5.209125658,-5.696057066,-5.26780605,0,0.052135617,0.196643912,0,0.265127036,97-99-4,97-99-4,9128,29128,0,0.9506,0.9552,0.006736742,0,Nonbinders
83834-59-7,-7.647387975,-8.294896597,-8.352777577,-8.09835405,0,0.197330265,0.098299856,1,2.00743188,83834-59-7,83834-59-7,28119,47205,0,0.8914,0.8809,0.061808754,0,Nonbinders
122-88-3,-7.14889731,-7.327146909,-7.58030837,-7.35211753,0,0.162590809,0.143992701,1,1.129160075,122-88-3,122-88-3,14282,34282,0,0.8666,0.8753,0.234922563,0,Nonbinders
91-66-7,-6.320567621,-5.959899855,-5.59204134,-5.957502938,0,0.047635882,0.195000606,0,0.244285816,91-66-7,91-66-7,1800,21800,0,0.8913,0.8855,0.021500711,0,Nonbinders
644-97-3,-5.507304668,-5.575791149,-5.249629791,-5.444241869,0,0.034679296,0.186132578,0,0.186315025,644-97-3,644-97-3,7282,27282,0,0.9167,0.9204,0.018679203,0,Nonbinders
120-12-7,-8.715994081,-8.983296115,-8.55515973,-8.751483309,0,0.202229102,0.086798752,1,2.329861858,120-12-7,120-12-7,3878,23878,0,0.9105,0.9117,0.081604812,0,Nonbinders
95-13-6,0,-6.842281144,0,-2.280760381,0,5.40354E-06,0.00241039,0,0.002241769,95-13-6,95-13-6,22052,42052,0,0.9225,0.9303,0.075312988,0,Nonbinders
93-15-2,-6.381282912,-6.946652897,-6.33334156,-6.553759123,0,0.085123665,0.19526228,0,0.435945259,93-15-2,93-15-2,5607,25607,0,0.9006,0.9001,0.026284128,0,Nonbinders
108-67-8,-6.701269122,-6.406321031,0,-4.369196718,0,5.40354E-06,0.00241039,0,0.002241769,108-67-8,108-67-8,6797,26797,0,0.9205,0.9168,0.038623677,0,Nonbinders
115-77-5,-5.181492966,-3.745719124,-5.035063107,-4.654091732,0,0.027975946,0.178128134,0,0.157055179,115-77-5,115-77-5,6943,26943,0,0.9657,0.9569,0.001819763,0,Nonbinders
80-56-8,-5.601315893,-6.855503852,-6.424639699,-6.293819815,0,0.090513843,0.193465908,0,0.467854226,80-56-8,80-56-8,6501,26501,0,0.9163,0.9283,0.037852469,0,Nonbinders
121-14-2,-4.998607233,-5.213497924,-4.710673866,-4.974259674,0,0.01975447,0.163107883,0,0.12111291,121-14-2,121-14-2,529,20529,0,0.8949,0.8976,0.039016258,0,Nonbinders
552-30-7,-7.773382606,-7.861150467,-7.804093585,-7.812875553,0,0.174800881,0.130891425,1,1.335464732,552-30-7,552-30-7,6235,26235,0,0.8938,0.8986,0.105091972,0,Nonbinders
335-67-1|3825-26-1,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,335-67-1,335-67-1|3825-26-1,11865|17708,31865|37708,0,0.9502,0.939,0.009414576,0,Nonbinders
2243-62-1,-7.858297777,-7.972986526,-7.24826133,-7.693181877,0,0.142490572,0.162140824,0,0.878807499,2243-62-1,2243-62-1,916,20916,0,0.9235,0.9243,0.023131188,0,Nonbinders
99607-70-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,99607-70-2,99607-70-2,21794,41794,0,0.8848,0.8787,0.09569333,0,Nonbinders
1260-17-9,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,1260-17-9,1260-17-9,2817,22817,0,0.8996,0.9079,0.148045342,0,Nonbinders
1120-04-3,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,1120-04-3,1120-04-3,27103,47103,0,0.9239,0.8958,0.006993981,0,Nonbinders
99-76-3,-6.042653357,-7.325100232,-6.006945567,-6.458233052,0,0.06712071,0.198445221,0,0.338232941,99-76-3,99-76-3,2529,22529,0,0.8635,0.862,0.068929672,0,Nonbinders
41198-08-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,41198-08-7,41198-08-7,12464,32464,0,0.8878,0.8927,0.167363663,0,Nonbinders
69806-50-4,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,69806-50-4,69806-50-4,14612,34612,0,0.8881,0.8822,0.088104147,0,Nonbinders
2921-88-2,0,0,-6.926524807,-2.308841602,0,0.12193252,0.177230246,0,0.687989339,2921-88-2,2921-88-2,458,20458,0,0.8938,0.8997,0.064687779,0,Nonbinders
127-51-5,-8.174999271,-8.142567748,-7.845813059,-8.054460026,0,0.176916034,0.128408074,1,1.377764102,127-51-5,127-51-5,7047,27047,0,0.9001,0.9141,0.15504972,0,Nonbinders
62-56-6,-3.268580764,-3.772992018,-3.210363963,-3.417312248,0,0.002746518,0.077337712,0,0.035513308,62-56-6,62-56-6,1348,21348,0,0.9854,0.9751,0.001856953,0,Nonbinders
86479-06-3,-9.001533262,0,0,-3.000511087,0,5.40354E-06,0.00241039,0,0.002241769,86479-06-3,86479-06-3,12620,32620,0,0.8982,0.9075,0.162631011,0,Nonbinders
23950-58-5,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,23950-58-5,23950-58-5,420,20420,0,0.8972,0.9055,0.157877733,0,Nonbinders
72490-01-8,-7.949481109,-7.335032935,-7.889366074,-7.724626706,0,0.179063087,0.125807996,1,1.4233045,72490-01-8,72490-01-8,12393,32393,0,0.875,0.8656,0.080355453,0,Nonbinders
7786-34-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,7786-34-7,7786-34-7,196480,32683,0,0.9324,0.9269,0.023859959,0,Nonbinders
122-51-0,-2.954781723,0,-2.764037744,-1.906273156,0,0.00136063,0.055626505,0,0.024460101,122-51-0,122-51-0,21957,41957,0,0.951,0.9296,0.00311536,0,Nonbinders
501027-49-2,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,501027-49-2,501027-49-2,27307,47307,0,0.8961,0.8962,0.100803869,0,Nonbinders
128-37-0,0,-8.085523982,-8.455777019,-5.513767,0,0.200080351,0.092384795,1,2.165728142,128-37-0,128-37-0,216,20216,0,0.9026,0.9132,0.168126945,0,Nonbinders
92-87-5,-8.434000742,-8.857017367,-8.353591816,-8.548203308,0,0.197354037,0.098252653,1,2.008638247,92-87-5,92-87-5,137,20137,0,0.9317,0.9309,0.034071644,0,Nonbinders
30560-19-1,-3.555131439,-3.796718601,-4.303013241,-3.884954427,0,0.012261258,0.140720281,0,0.087132134,30560-19-1,30560-19-1,3846,23846,0,0.9407,0.9274,0.003813278,0,Nonbinders
105512-06-9,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,105512-06-9,105512-06-9,12354,32354,0,0.8795,0.8888,0.259741514,0,Nonbinders
1563-66-2,-7.663815418,-7.855399306,-7.438433509,-7.652549411,0,0.154228881,0.15199083,1,1.014724907,1563-66-2,1563-66-2,249,20249,0,0.8849,0.8952,0.147593579,0,Nonbinders
NOCAS_48172,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_48172,28146,48172,0,0.9169,0.9303,0.123928472,0,Nonbinders
85-68-7,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,85-68-7,85-68-7,205,20205,0,0.8768,0.8547,0.044607128,0,Nonbinders
124-09-4,-3.587582773,0,-3.790410234,-2.459331002,0,0.006322178,0.110249899,0,0.057344073,124-09-4,124-09-4,4922,24922,0,0.9781,0.9631,0.001317621,0,Nonbinders
132-64-9,-8.122393364,-8.323561861,-7.77247148,-8.072808902,0,0.173161162,0.132767565,1,1.304242963,132-64-9,132-64-9,1993,21993,0,0.9223,0.9251,0.039173998,0,Nonbinders
115-95-7,-5.406784509,-5.764887815,-5.809936328,-5.660536217,0,0.05736149,0.197850415,0,0.289923526,115-95-7,115-95-7,6946,26946,0,0.9379,0.9196,0.002205507,0,Nonbinders
88-74-4,-5.26087003,-5.272361005,-5.005462049,-5.179564361,0,0.027133033,0.176892923,0,0.153386765,88-74-4,88-74-4,5726,25726,0,0.9132,0.9094,0.013323034,0,Nonbinders
6893-02-3,-10.29252561,0,0,-3.430841871,0,5.40354E-06,0.00241039,0,0.002241769,6893-02-3,6893-02-3,3216,23216,0,0.894,0.8974,0.129999991,0,Nonbinders
107-92-6,-3.393388086,-3.651545546,-4.271909153,-3.772280928,0,0.011801679,0.138909202,0,0.084959664,107-92-6,107-92-6,1515,21515,0,0.9211,0.8857,0.001639384,0,Nonbinders
21725-46-2,-5.667489395,-5.301744762,-5.801281777,-5.590171978,0,0.056953463,0.197780753,0,0.287962616,21725-46-2,21725-46-2,3990,23990,0,0.9292,0.9325,0.01219751,0,Nonbinders
60-54-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,60-54-8,60-54-8,3645,23645,0,0.8925,0.9164,0.382019818,0,Nonbinders
1929-82-4,-7.140896599,-6.792163604,-5.737121261,-6.556727155,0,0.053984193,0.197151062,0,0.273821467,1929-82-4,1929-82-4,4216,24216,0,0.9135,0.9273,0.039127344,0,Nonbinders
2432-87-3,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,2432-87-3,2432-87-3,27537,47537,0,0.9218,0.8822,0.003473124,0,Nonbinders
22781-23-3,-7.384568245,-7.46835184,-7.014063582,-7.288994556,0,0.127559639,0.173430313,0,0.735509481,22781-23-3,22781-23-3,12327,32327,0,0.8903,0.8931,0.062163761,0,Nonbinders
112410-23-8,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,112410-23-8,112410-23-8,14948,34948,0,0.8937,0.8918,0.09566741,0,Nonbinders
161326-34-7,-7.983165915,0,0,-2.661055305,0,5.40354E-06,0.00241039,0,0.002241769,161326-34-7,161326-34-7,14590,34590,0,0.8972,0.9105,0.207618505,0,Nonbinders
87820-88-0,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,87820-88-0,87820-88-0,14973,34973,0,0.8838,0.8978,0.29553721,0,Nonbinders
124-68-5,0,-3.6428857,-3.76542372,-2.469436473,0,0.006110398,0.108765304,0,0.056179664,124-68-5,124-68-5,7032,27032,0,0.9474,0.9315,0.003307387,0,Nonbinders
77-89-4,0,0,-5.549320724,-1.849773575,0,0.045864055,0.19417896,0,0.236194773,77-89-4,77-89-4,24576,44576,0,0.9265,0.911,0.003755524,0,Nonbinders
4344-55-2,-5.228176695,-5.588494993,-5.066703726,-5.294458471,0,0.028898471,0.17941496,0,0.161070577,4344-55-2,4344-55-2,28174,48199,0,0.8945,0.8825,0.013698624,0,Nonbinders
489-01-0,0,-7.325395132,-7.783809058,-5.036401397,0,0.173752588,0.132095593,1,1.315354918,489-01-0,489-01-0,21379,41379,0,0.8975,0.9073,0.125800572,0,Nonbinders
NOCAS_47299,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47299,27299,47299,0,0.8902,0.9075,0.29940675,0,Nonbinders
2440-22-4,-9.219398117,-8.32021967,-8.282463892,-8.60736056,0,0.195158419,0.102399356,1,1.905855913,2440-22-4,2440-22-4,7479,27479,0,0.8927,0.8935,0.114183059,0,Nonbinders
23103-98-2,0,-3.391179418,-5.20305588,-2.864745099,0,0.033133943,0.184543718,0,0.179545221,23103-98-2,23103-98-2,12569,32569,0,0.927,0.9186,0.006119733,0,Nonbinders
159138-81-5,-8.644510995,-7.548532509,-7.865174368,-8.019405957,0,0.177878369,0.127253027,1,1.397832119,159138-81-5,159138-81-5,27344,47344,0,0.9072,0.9012,0.037491075,0,Nonbinders
NOCAS_47364,0,0,0,0,0,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47364,27364,47364,0,0.893,0.913,0.319099285,0,Nonbinders
98-56-6,-7.539888728,-8.414698403,-7.391252134,-7.781946422,0,0.151364994,0.15457717,0,0.979219594,98-56-6,98-56-6,4821,24821,0,0.9003,0.9281,0.249302335,0,Nonbinders
864283-48-7,-10.29719383,-10.34566393,-9.998390272,-10.21374934,1,0.175695738,0.026637627,1,6.59577276,864283-48-7,864283-48-7,27312,47312,1,0.9018,0.9146,0.284616538,0,Binders
140-66-9,-8.270096069,-8.079884336,-8.875630653,-8.40853702,1,0.205608082,0.069813023,1,2.945125022,140-66-9,140-66-9,2360,22360,1,0.8793,0.898,0.475387131,0,Binders
221246-12-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,221246-12-4,221246-12-4,27249,47249,1,0.8894,0.9068,0.306161662,0,Binders
56-38-2,-5.216273612,-5.140787565,-4.888637178,-5.081899451,1,0.023992447,0.171737066,0,0.139704535,56-38-2,56-38-2,1100,21100,1,0.8798,0.8843,0.065270691,0,Binders
725228-45-5,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,725228-45-5,725228-45-5,27371,47371,1,0.8994,0.9176,0.253343904,0,Binders
115-32-2,-10.55788369,-8.708394313,-8.890160899,-9.385479635,1,0.205629598,0.069085462,1,2.976452513,115-32-2,115-32-2,450,20450,1,0.8993,0.9259,0.451253652,0,Binders
81741-28-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,81741-28-8,81741-28-8,14997,34997,1,0.9465,0.9301,0.007486326,0,Binders
50471-44-8,0,-8.400518012,-7.386411491,-5.262309834,1,0.15106914,0.154840171,0,0.975645656,50471-44-8,50471-44-8,2361,22361,1,0.8865,0.9177,0.391355528,0,Binders
5137-55-3,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,5137-55-3,5137-55-3,24487,44487,1,0.9407,0.9292,0.012423745,0,Binders
80-05-7,-9.503139609,-9.62976603,-9.980285126,-9.704396922,1,0.176610367,0.027121774,1,6.511755643,80-05-7,80-05-7,182,20182,1,0.8782,0.9026,0.645708331,1,Binders
57-91-0,-10.69580382,-10.86022483,-10.93078776,-10.8289388,1,0.119536113,0.009440772,1,12.66168886,57-91-0,57-91-0,2377,22377,1,0.861,0.9286,0.982026036,1,Binders
10453-86-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,10453-86-8,10453-86-8,2253,22253,1,0.8845,0.893,0.221142416,0,Binders
17372-87-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,17372-87-1,17372-87-1,5234,25234,1,0.8932,0.91,0.27319174,0,Binders
122-14-5,-6.05188518,-6.213736283,-5.522775318,-5.929465594,1,0.044785506,0.193626091,0,0.231298921,122-14-5,122-14-5,12613,32613,1,0.8915,0.9074,0.08541086,0,Binders
196808-45-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,196808-45-4,196808-45-4,27310,47310,1,0.8877,0.8962,0.204202087,0,Binders
3380-34-5,-9.788224111,-9.440627761,-9.72605194,-9.651634604,1,0.188228665,0.034629114,1,5.435561091,3380-34-5,3380-34-5,12498,32498,1,0.8881,0.9152,0.608385257,1,Binders
131-55-5,-9.748783141,-9.394411874,-10.45851432,-9.867236446,1,0.149540095,0.016400843,1,9.117829697,131-55-5,131-55-5,21306,41306,1,0.8703,0.8883,0.604705995,1,Binders
32809-16-8,-7.932508957,-7.570827956,-7.249078804,-7.584138572,1,0.142541999,0.16209888,0,0.879352156,32809-16-8,32809-16-8,13923,33923,1,0.8818,0.9139,0.418715648,0,Binders
97-77-8,-7.206573523,-7.499112059,0,-4.901895194,1,5.40354E-06,0.00241039,0,0.002241769,97-77-8,97-77-8,1322,21322,1,0.9457,0.9379,0.013572211,0,Binders
2353-45-9,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,2353-45-9,2353-45-9,673,20673,1,0.8855,0.9039,0.348005326,0,Binders
NOCAS_47389,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47389,27389,47389,1,0.8821,0.8975,0.327142639,0,Binders
5315-79-7,-10.2732391,-10.37499223,-10.45625397,-10.36816177,1,0.149679132,0.016442071,1,9.103423392,5315-79-7,5315-79-7,18298,38298,1,0.9035,0.9195,0.318910703,0,Binders
1192-52-5,-5.425348536,-5.611227195,-5.174715941,-5.40376389,1,0.032218415,0.183535322,0,0.175543405,1192-52-5,1192-52-5,12518,32518,1,0.9339,0.9476,0.021377713,0,Binders
474-86-2,-9.946912312,-10.63407131,-10.85822116,-10.47973492,1,0.124198623,0.01031387,1,12.04190278,474-86-2,474-86-2,27433,47433,1,0.8662,0.9182,0.942659142,1,Binders
68-96-2,0,-9.471553615,-10.92178852,-6.79778071,1,0.120113811,0.009545575,1,12.58319228,68-96-2,68-96-2,20747,40747,1,0.8548,0.9171,0.979019491,1,Binders
57-09-0,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,57-09-0,57-09-0,17028,37028,1,0.9373,0.9282,0.016183966,0,Binders
53-16-7,-9.792771579,-10.41460177,-10.89507175,-10.3674817,1,0.121829927,0.009862455,1,12.35290124,53-16-7,53-16-7,2367,22367,1,0.8526,0.9166,0.982524409,1,Binders
55285-14-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,55285-14-8,55285-14-8,3950,23950,1,0.8789,0.8877,0.256963477,0,Binders
6344-67-8,-9.311313487,-9.531488232,-9.115856667,-9.319552796,1,0.20448588,0.058317872,1,3.506401585,6344-67-8,6344-67-8,27540,47540,1,0.8859,0.9129,0.585987223,1,Binders
DB02998,-10.37643147,-6.233506009,-11.34914929,-9.31969559,1,0.093292094,0.005527169,1,16.87882092,,DB02998,,,1,0.8853,0.9331,0.864520815,1,Binders
125116-23-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,125116-23-6,125116-23-6,14497,34497,1,0.8681,0.9167,0.874846136,1,Binders
22260-51-1,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,22260-51-1,22260-51-1,197,20197,1,0.9046,0.9263,0.266785215,0,Binders
112281-77-3,-8.617200422,-9.747331998,-8.42035132,-8.92829458,1,0.199193526,0.094405911,1,2.109968798,112281-77-3,112281-77-3,14956,34956,1,0.8954,0.9258,0.483322784,0,Binders
139340-56-0,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,139340-56-0,139340-56-0,27246,47246,1,0.9044,0.9225,0.223445595,0,Binders
156052-68-5,0,-8.677155937,-7.654249122,-5.443801686,1,0.166773039,0.139716391,1,1.193654073,156052-68-5,156052-68-5,12581,32581,1,0.8885,0.8947,0.120494931,0,Binders
DB01185,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB01185,,,1,0.8715,0.9297,0.922707162,1,Binders
6317-18-6,-1.793784626,0,-2.007830084,-1.267204903,1,0.00036681,0.028440395,0,0.012897501,6317-18-6,6317-18-6,5599,25599,1,0.9723,0.9738,0.009085419,0,Binders
DB01564,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB01564,,,1,0.8682,0.9282,0.93729767,1,Binders
67485-29-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,67485-29-4,67485-29-4,3868,23868,1,0.8999,0.9268,0.374213505,0,Binders
NOCAS_47377,-1.233447426,0,0,-0.411149142,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47377,27377,47377,1,0.8925,0.9121,0.316721296,0,Binders
1401-55-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,1401-55-4,1401-55-4,6076,26076,1,0.9032,0.9134,0.149736387,0,Binders
63-05-8,-9.417615331,-1.82941524,-10.6904578,-7.312496122,1,0.134960947,0.012591068,1,10.71878461,63-05-8,63-05-8,4523,24523,1,0.8668,0.9308,0.973408254,1,Binders
NOCAS_47353,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47353,27353,47353,1,0.8886,0.9127,0.414780148,0,Binders
NOCAS_47328,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47328,27328,47328,1,0.9013,0.9108,0.151428434,0,Binders
NOCAS_47379,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,NOCAS_47379,27379,47379,1,0.8832,0.9106,0.511873619,1,Binders
289716-94-5,-10.80381628,-10.18531636,-10.48600941,-10.49171402,1,0.147843074,0.015905936,1,9.294836278,289716-94-5,289716-94-5,27280,47280,1,0.8903,0.9094,0.466258321,0,Binders
129299-90-7,-10.35845164,-9.783526385,-8.963984006,-9.701987343,1,0.205560749,0.0654516,1,3.14065277,129299-90-7,129299-90-7,28142,48168,1,0.8924,0.9137,0.425572819,0,Binders
133-06-2,-8.239536603,-7.083504368,-7.428287322,-7.583776098,1,0.153616142,0.15255043,1,1.006985965,133-06-2,133-06-2,243,20243,1,0.9132,0.9361,0.140361655,0,Binders
35691-65-7,-6.137826754,-6.130880026,-5.927993351,-6.06556671,1,0.063102772,0.198435407,0,0.318001575,35691-65-7,35691-65-7,4944,24944,1,0.964,0.9732,0.006173484,0,Binders
510-15-6,-10.71268897,-10.07797779,-9.655258643,-10.1486418,1,0.19101303,0.036962007,1,5.167820836,510-15-6,510-15-6,299,20299,1,0.8521,0.8621,0.604196618,1,Binders
DB00984,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB00984,,,1,0.8584,0.8992,0.849294363,1,Binders
19774-82-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,19774-82-4,19774-82-4,17185,37185,1,0.887,0.8913,0.165301972,0,Binders
206-44-0,-9.642713093,-9.893717717,-9.122275927,-9.552902246,1,0.204412976,0.058026807,1,3.522733474,206-44-0,206-44-0,4104,24104,1,0.9085,0.9221,0.220589289,0,Binders
612-82-8|119-93-7,0,-9.591722789,-9.22852388,-6.273415556,1,0.202887166,0.053335832,1,3.803956148,612-82-8,612-82-8|119-93-7,511|4059,20511|24059,1,0.9065,0.9127,0.1600685,0,Binders
2321-07-5,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,2321-07-5,2321-07-5,18887,38887,1,0.8862,0.9168,0.541619513,1,Binders
DB01395,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB01395,,,1,0.8818,0.9265,0.777311404,1,Binders
3691-35-8,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,3691-35-8,3691-35-8,12348,32348,1,0.8796,0.8982,0.394648204,0,Binders
107534-96-3,0,-8.539452923,-9.576458552,-6.038637158,1,0.193856949,0.039686106,1,4.88475605,107534-96-3,107534-96-3,12113,32113,1,0.8842,0.9134,0.663419962,1,Binders
676116-04-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,676116-04-4,676116-04-4,27271,47271,1,0.8856,0.9164,0.549643971,1,Binders
88-24-4,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,88-24-4,88-24-4,18864,38864,1,0.8947,0.9092,0.235065847,0,Binders
24169-02-6,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,24169-02-6,24169-02-6,5226,25226,1,0.9008,0.9259,0.340029209,0,Binders
DB08899,0,0,0,0,1,5.40354E-06,0.00241039,0,0.002241769,,DB08899,,,1,0.8926,0.9164,0.379695208,0,Binders
